Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Kilómetros,Título,Precio,Moneda,Tipo de vendedor
Peugeot,2008,2017.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,78000 km,Peugeot 2008 1.6 Allure Tip,13301.44,U$S,particular
Peugeot,2008,2020.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,55000 km,Peugeot 2008 1.6 Thp Sport,19000.0,U$S,particular
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,105000 km,Peugeot 2008 1.6 Feline,13301.44,U$S,particular
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,106000 km,Peugeot 2008 1.6 Feline,15000.0,U$S,particular
Peugeot,2008,2016.0,1.6 Feline,,Nafta,5.0,Manual,1.6,110000 km,Peugeot 2008 1.6 Feline,11483.25,U$S,particular
Peugeot,2008,2019.0,1.6 Feline,,Nafta,5.0,Manual,1.6,75000 km,Peugeot 2008 1.6 Feline,17224.88,U$S,particular
Peugeot,2008,2016.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,122000 km,Peugeot 2008 1.6 Thp Sport,9760.76,U$S,particular
Peugeot,2008,2016.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,107000 km,Peugeot 2008 1.6 Allure,14162.68,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Active,,Nafta,5.0,Manual,1.6,160000 km,Peugeot 2008 1.6 Active,12400.0,U$S,particular
Peugeot,2008,2020.0,1.6 Thp Sport am20,,Nafta,5.0,Manual,1.6,52000 km,Peugeot 2008 1.6 Thp Sport am20,16267.94,U$S,particular
Peugeot,2008,2018.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,37000 km,Peugeot 2008 1.6 Allure Tip,14600.0,U$S,particular
Peugeot,2008,2023.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,11190 km,Peugeot 2008 1.6 Feline,24800.0,U$S,particular
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,95000 km,Peugeot 2008 1.6 Feline,12918.66,U$S,particular
Peugeot,2008,2017.0,1.6 Active,,Nafta,5.0,Manual,1.6,121000 km,Peugeot 2008 1.6 Active,10700.0,U$S,particular
Peugeot,2008,2019.0,1.6 Crossway,Blanco,Nafta,5.0,Manual,1.6,53117 km,Peugeot 2008 1.6 Crossway,15215.31,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Feline,,Nafta,5.0,Manual,1.6,30000 km,Peugeot 2008 1.6 Feline,20000.0,U$S,particular
Peugeot,2008,2019.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,58000 km,Peugeot 2008 1.6 Feline,16172.25,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,97000 km,Peugeot 2008 1.6 Allure Tip,13349.28,U$S,particular
Peugeot,2008,2023.0,Active Pack TipTroni,,Nafta,5.0,Manual,1.6,4300 km,Peugeot 2008 Active Pack TipTroni,19300.0,U$S,particular
Peugeot,2008,2017.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,100000 km,Peugeot 2008 1.6 Thp Sport,12800.0,U$S,particular
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Plateado,Nafta,5.0,Automática,1.6,58000 km,Peugeot 2008 1.6 Thp Sport Tip,19500.0,U$S,particular
Peugeot,2008,2017.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,95000 km,Peugeot 2008 1.6 Allure Tip,13000.0,U$S,particular
Peugeot,2008,2021.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,24900 km,Peugeot 2008 1.6 Allure,16181.82,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Feline Tip,,Nafta,5.0,Automática,1.6,92000 km,Peugeot 2008 1.6 Feline Tip,13000.0,U$S,particular
Peugeot,2008,2019.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,50000 km,Peugeot 2008 1.6 Thp Sport,16555.02,U$S,particular
Peugeot,2008,2018.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,48003 km,Peugeot 2008 1.6 Feline,16500.0,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Feline Tip,Blanco,Nafta,5.0,Automática,1.6,27000 km,Peugeot 2008 1.6 Feline Tip,21531.1,U$S,tienda
Peugeot,2008,2017.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,49000 km,Peugeot 2008 1.6 Feline,15000.0,U$S,concesionaria
Peugeot,2008,2020.0,1.6 FELINE L/19 TIPTRONIC,Gris,Nafta,5.0,Automática,1,47520 km,Peugeot 2008 1.6 FELINE L/19 TIPTRONIC,16976.08,U$S,tienda
