Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso
Peugeot,2008,2016.0,1.6 FELINE MT 4x2,Plateado,Nafta,5.0,Manual,1,SUV,51000 km,Peugeot 2008 1.6 FELINE MT 4x2,12172.73,U$S,tienda,No
Peugeot,2008,2022.0,1.6 Féline Mt,Gris,Nafta,5.0,Manual,1,SUV,21271 km,Peugeot 2008 1.6 Féline Mt,19545.45,U$S,tienda,No
Peugeot,2008,2018.0,1.6 THP SPORT MT,Blanco,Nafta,5.0,Manual,1,SUV,47300 km,Peugeot 2008 1.6 THP SPORT MT,14390.91,U$S,tienda,No
Peugeot,2008,2021.0,1.6 In Concert,Rojo,Nafta,5.0,Manual,1.6,SUV,44000 km,Peugeot 2008 1.6 In Concert,18950.0,U$S,concesionaria,Sí
Peugeot,2008,2024.0,1.6 Feline Tip,Plateado,Nafta,5.0,Automática,1.6,SUV,0 km,Peugeot 2008 1.6 Feline Tip,14545.45,U$S,concesionaria,
Peugeot,2008,2016.0,1.6 ACTIVE MT 4x2,Gris,Nafta,5.0,Manual,1,SUV,55598 km,Peugeot 2008 1.6 ACTIVE MT 4x2,11209.09,U$S,tienda,No
Peugeot,2008,2016.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,95000 km,Peugeot 2008 1.6 Allure,13500.0,U$S,concesionaria,
Peugeot,2008,2017.0,1.6 Féline Mt,Plateado,Nafta,5.0,Manual,1,SUV,76085 km,Peugeot 2008 1.6 Féline Mt,12218.18,U$S,tienda,No
Peugeot,2008,2019.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,67000 km,Peugeot 2008 1.6 Allure,15000.0,U$S,concesionaria,
Peugeot,2008,2019.0,1.6 Feline Tiptronic,Gris,Nafta,5.0,Automática,1,SUV,69784 km,Peugeot 2008 1.6 Feline Tiptronic,14190.91,U$S,tienda,No
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,5.0,Manual,1.6,SUV,17500 km,Peugeot 2008 1.6 Allure,18000.0,U$S,tienda,
Peugeot,2008,2018.0,1.6 Allure Mt,Blanco,Nafta,5.0,Manual,1,SUV,97442 km,Peugeot 2008 1.6 Allure Mt,10290.91,U$S,tienda,No
Peugeot,2008,2022.0,1.6 Feline,Gris,Nafta,5.0,Manual,INYECCION MULTI PUNTO,SUV,69000 km,Peugeot 2008 1.6 Feline,19472.73,U$S,tienda,Sí
Peugeot,2008,2018.0,1.6 Allure,,Nafta,5.0,Manual,1.6,SUV,94000 km,Peugeot 2008 1.6 Allure,11809.0,U$S,concesionaria,
Peugeot,2008,2018.0,1.6 Active,Blanco,Nafta,5.0,Manual,1.6,SUV,88000 km,Peugeot 2008 1.6 Active,13045.45,U$S,concesionaria,
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,8000 km,Peugeot 2008 1.6 Thp Sport Tip,22000.0,U$S,concesionaria,Sí
Peugeot,2008,2017.0,1.6 Thp Sport,Gris,Nafta,5.0,Manual,1.6,SUV,129800 km,Peugeot 2008 1.6 Thp Sport,12500.0,U$S,concesionaria,
Peugeot,2008,2018.0,1.6 THP SPORT MT,Blanco,Nafta,5.0,Manual,1,SUV,14380 km,Peugeot 2008 1.6 THP SPORT MT,15845.45,U$S,tienda,No
Peugeot,2008,2021.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,SUV,13000 km,Peugeot 2008 1.6 Feline,19800.0,U$S,concesionaria,
Peugeot,2008,2019.0,1.6 Thp Sport,Marrón,Nafta,5.0,Manual,1.6,SUV,25000 km,Peugeot 2008 1.6 Thp Sport,16818.09,U$S,tienda,
Peugeot,2008,2017.0,1.6 Allure Tip,Gris,Nafta,5.0,Automática,1.6,SUV,50520 km,Peugeot 2008 1.6 Allure Tip,13200.0,U$S,concesionaria,
Peugeot,2008,2020.0,1.6 ALLURE L/19 MT,Blanco,Nafta,5.0,Manual,1,SUV,16835 km,Peugeot 2008 1.6 ALLURE L/19 MT,16627.27,U$S,tienda,No
Peugeot,2008,2016.0,1.6 Allure Tip,Marrón,Nafta,5.0,Automática,1.6,SUV,80100 km,Peugeot 2008 1.6 Allure Tip,12700.0,U$S,concesionaria,
Peugeot,2008,2017.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,78000 km,Peugeot 2008 1.6 Thp Sport,13000.0,U$S,concesionaria,
Peugeot,2008,2019.0,1.6 Thp Sport,Plateado,Nafta,5.0,Manual,1.6,SUV,63200 km,Peugeot 2008 1.6 Thp Sport,15727.27,U$S,tienda,
Peugeot,2008,2020.0,1.6 In Concert Tiptronic,Plateado,Nafta,5.0,Automática,1.6,SUV,78406 km,Peugeot 2008 1.6 In Concert Tiptronic,16500.0,U$S,concesionaria,
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,8910 km,Peugeot 2008 1.6 Thp Sport Tip,26000.0,U$S,concesionaria,
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,50000 km,Peugeot 2008 1.6 Feline,14272.73,U$S,concesionaria,
Peugeot,2008,2018.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,79000 km,Peugeot 2008 1.6 Allure,12545.45,U$S,concesionaria,
Peugeot,2008,2017.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,87000 km,Peugeot 2008 1.6 Allure,11818.18,U$S,concesionaria,
Peugeot,2008,2021.0,1.6 Feline am20,Blanco,Nafta,5.0,Manual,1.6,SUV,56000 km,Peugeot 2008 1.6 Feline am20,18999.09,U$S,concesionaria,
Peugeot,2008,2016.0,1.6 Feline,Gris oscuro,Nafta/GNC,5.0,Manual,1.6,SUV,102000 km,Peugeot 2008 1.6 Feline,12280.0,U$S,concesionaria,No
Peugeot,2008,2021.0,1.6 Allure am20,Gris,Nafta,5.0,Manual,1.6,SUV,43000 km,Peugeot 2008 1.6 Allure am20,17400.0,U$S,particular,Sí
Peugeot,2008,2020.0,1.6 Thp Sport Tip,Marrón,Nafta,5.0,Automática,1.6,SUV,45352 km,Peugeot 2008 1.6 Thp Sport Tip,18500.0,U$S,concesionaria,
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,6000 km,Peugeot 2008 1.6 Thp Sport Tip,22500.0,U$S,concesionaria,
Peugeot,2008,2019.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,48000 km,Peugeot 2008 1.6 Feline,14300.0,U$S,concesionaria,
Peugeot,2008,2017.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,136000 km,Peugeot 2008 1.6 Thp Sport,11363.64,U$S,concesionaria,
Peugeot,2008,2016.0,1.6 Thp Sport,Negro,Nafta,5.0,Manual,1.6,SUV,99000 km,Peugeot 2008 1.6 Thp Sport,10999.0,U$S,concesionaria,No
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,100000 km,Peugeot 2008 1.6 Feline,12636.36,U$S,concesionaria,
