Marca,Modelo,Año,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Precio,Tipo de vendedor,Edad,Km promedio por año,Cilindros,Turbo
Peugeot,2008,2018.0,gris,Nafta,Manual,1.6,51780,17500.0,concesionaria,6.0,8630.0,1,0
Peugeot,2008,2018.0,gris,Nafta,Manual,1.6,79000,6473.68,concesionaria,6.0,13166.0,1,0
Peugeot,2008,2016.0,blanco,Nafta,Manual,1.6,72000,13500.0,concesionaria,8.0,9000.0,1,0
Peugeot,2008,2020.0,blanco,Nafta,Manual,1.6,23603,20000.0,tienda,4.0,5900.0,1,0
Peugeot,2008,2020.0,blanco,Nafta,Automática,1.6,61000,20736.84,concesionaria,4.0,15250.0,1,0
Peugeot,2008,2017.0,plata,Nafta,Manual,1.6,110000,12526.32,concesionaria,7.0,15714.0,1,0
Peugeot,2008,2016.0,negro,Nafta,Manual,1.6,101000,12105.26,concesionaria,8.0,12625.0,1,0
Peugeot,2008,2024.0,gris,Nafta,Manual,1.6,0,15789.47,concesionaria,0.0,0.0,1,0
Peugeot,2008,2019.0,negro,Nafta,Manual,1.6,49000,18100.0,concesionaria,5.0,9800.0,1,0
Peugeot,2008,2017.0,plata,Nafta,Automática,1.6,58000,8421.05,tienda,7.0,8285.0,1,0
Peugeot,2008,2020.0,blanco,Nafta,Manual,1.6,120000,18105.26,concesionaria,4.0,30000.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,49500,15671.58,concesionaria,6.0,8250.0,1,0
Peugeot,2008,2021.0,azul,Nafta,Manual,1.6,55400,20842.11,concesionaria,3.0,18466.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,90000,7894.74,concesionaria,7.0,12857.0,1,0
Peugeot,2008,2022.0,negro,Nafta,Manual,1.6,44500,23778.95,concesionaria,2.0,22250.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,60000,18105.26,concesionaria,5.0,12000.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Automática,1.6,82000,18421.05,concesionaria,5.0,16400.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Manual,1.6,25200,20700.0,concesionaria,2.0,12600.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,26235,22842.11,concesionaria,2.0,13117.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,75000,13789.47,concesionaria,7.0,10714.0,1,0
Peugeot,2008,2017.0,plata,Nafta,Manual,1.6,90000,10526.32,concesionaria,7.0,12857.0,1,0
Peugeot,2008,2020.0,blanco,Nafta,Manual,1.6,36000,17800.0,concesionaria,4.0,9000.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,101000,12300.0,concesionaria,7.0,14428.0,1,0
Peugeot,2008,2020.0,gris,Nafta,Automática,1.6,49900,20842.11,tienda,4.0,12475.0,1,0
Peugeot,2008,2021.0,plata,Nafta,Manual,1.6,29000,19789.47,concesionaria,3.0,9666.0,1,0
Peugeot,2008,2024.0,blanco,Nafta,Automática,1.6,0,16410.53,concesionaria,0.0,0.0,1,0
Peugeot,2008,2021.0,blanco,Nafta/GNC,Manual,1.6,48000,9472.63,concesionaria,3.0,16000.0,1,0
Peugeot,2008,2018.0,marrón,Nafta,Manual,1.6,99000,16700.0,concesionaria,6.0,16500.0,1,0
Peugeot,2008,2021.0,plata,Nafta,Manual,1.6,40000,20842.11,concesionaria,3.0,13333.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,21000,22500.0,concesionaria,2.0,10500.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,54000,17000.0,concesionaria,5.0,10800.0,1,0
Peugeot,2008,2023.0,gris,Nafta,Automática,1.6,0,16631.58,concesionaria,1.0,0.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,95800,15250.53,concesionaria,7.0,13685.0,1,0
Peugeot,2008,2018.0,negro,Nafta,Manual,1.6,43474,14736.84,tienda,6.0,7245.0,1,0
Peugeot,2008,2019.0,plata,Nafta,Manual,1.6,79000,17368.42,concesionaria,5.0,15800.0,1,0
Peugeot,2008,2020.0,blanco,Nafta,Manual,1.6,45745,20000.0,tienda,4.0,11436.0,1,0
Peugeot,2008,2021.0,plata,Nafta,Automática,1.6,42000,19300.0,concesionaria,3.0,14000.0,1,0
Peugeot,2008,2021.0,rojo,Nafta,Manual,1.6,21300,17900.0,concesionaria,3.0,7100.0,1,0
Peugeot,2008,2022.0,rojo,Nafta,Automática,1.6,24000,23052.63,concesionaria,2.0,12000.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,90000,18198.95,concesionaria,5.0,18000.0,1,0
Peugeot,2008,2020.0,plata,Nafta,Automática,1.6,31908,21684.21,concesionaria,4.0,7977.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,78000,14800.0,concesionaria,6.0,13000.0,1,0
Peugeot,2008,2018.0,negro,Nafta,Manual,1.6,77000,18420.0,concesionaria,6.0,12833.0,1,0
Peugeot,2008,2021.0,gris,Nafta,Manual,1.6,38000,19500.0,concesionaria,3.0,12666.0,1,0
Peugeot,2008,2018.0,rojo,Nafta,Manual,1.6,87000,7052.63,concesionaria,6.0,14500.0,1,0
Peugeot,2008,2018.0,rojo,Nafta,Manual,1.6,87000,15252.53,concesionaria,6.0,14500.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Automática,1.6,43000,17894.74,concesionaria,6.0,7166.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,20000,19000.0,concesionaria,2.0,10000.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,20000,20000.0,concesionaria,2.0,10000.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,77000,15263.16,concesionaria,7.0,11000.0,1,0
Peugeot,2008,2016.0,blanco,Nafta,Manual,1.6,57000,13500.0,concesionaria,8.0,7125.0,1,0
Peugeot,2008,2016.0,blanco,Nafta,Manual,1.6,89500,12000.0,concesionaria,8.0,11187.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Automática,1.6,44000,14500.0,particular,7.0,6285.0,1,0
Peugeot,2008,2016.0,blanco,Nafta,Manual,1.6,74500,13157.89,concesionaria,8.0,9312.0,1,0
Peugeot,2008,2017.0,negro,Nafta,Manual,1.6,148500,14210.53,concesionaria,7.0,21214.0,1,0
Peugeot,2008,2017.0,negro,Nafta,Manual,1.6,66000,14947.37,particular,7.0,9428.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,41000,23263.16,concesionaria,2.0,20500.0,1,0
Peugeot,2008,2021.0,rojo,Nafta,Automática,1.6,54000,20947.37,concesionaria,3.0,18000.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,70000,15800.0,concesionaria,6.0,11666.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,30190,14842.11,tienda,6.0,5031.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,1300,18000.0,concesionaria,5.0,260.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,98000,18800.0,concesionaria,5.0,19600.0,1,0
Peugeot,2008,2022.0,azul,Nafta,Automática,1.6,5000,23900.0,concesionaria,2.0,2500.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,53000,15700.0,particular,7.0,7571.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,100000,17842.11,concesionaria,5.0,20000.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Automática,1.6,13000,16700.0,concesionaria,7.0,1857.0,1,0
Peugeot,2008,2018.0,plata,Nafta,Automática,1.6,80000,12900.0,concesionaria,6.0,13333.0,1,0
Peugeot,2008,2020.0,gris,Nafta,Manual,1.6,50000,18947.37,concesionaria,4.0,12500.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,68000,16315.79,concesionaria,7.0,9714.0,1,0
Peugeot,2008,2016.0,negro,Nafta,Manual,1.6,82000,13480.0,concesionaria,8.0,10250.0,1,0
Peugeot,2008,2016.0,negro,Nafta,Automática,1.6,67000,13684.11,concesionaria,8.0,8375.0,1,0
Peugeot,2008,2021.0,negro,Nafta,Automática,1.6,48000,19894.74,concesionaria,3.0,16000.0,1,0
Peugeot,2008,2020.0,gris,Nafta,Manual,1.6,65000,19157.89,concesionaria,4.0,16250.0,1,0
Peugeot,2008,2020.0,azul,Nafta/GNC,Manual,1.6,85000,19263.16,concesionaria,4.0,21250.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,104000,14000.0,concesionaria,6.0,17333.0,1,0
