Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso
Chevrolet,Tracker,2014,1.8 Ltz Fwd Mt 140cv,Gris,Nafta,5.0,Manual,1.8,SUV,124000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,11800000.0,$,concesionaria,
Chevrolet,Tracker,2013,1.8 Ltz+ Awd At 140cv,Gris,Nafta,5.0,Automática,1.8,SUV,102161 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,14145000.0,$,tienda,
Chevrolet,Tracker,2023,1.2 Turbo At,Negro,Nafta,5.0,Automática,1.2,SUV,5200 km,Chevrolet Tracker 1.2 Turbo At,26900.0,U$S,concesionaria,
Chevrolet,Tracker,2015,1.8 Ltz Fwd Mt 140cv,,Nafta,5.0,Manual,1.8,SUV,90000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,12500000.0,$,concesionaria,
Chevrolet,Tracker,2017,1.8 Ltz,Rojo,Nafta,5.0,Manual,1.8,SUV,108554 km,Chevrolet Tracker 1.8 Ltz,15600000.0,$,tienda,
Chevrolet,Tracker,2018,1.8 Ltz 140cv,Gris,Nafta,5.0,Automática,1.8,SUV,98000 km,Chevrolet Tracker 1.8 Ltz 140cv,18000000.0,$,concesionaria,
Chevrolet,Tracker,2014,1.8 Ltz Fwd Mt 140cv,Blanco,Nafta,5.0,Manual,1.8,SUV,160000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,10500.0,U$S,concesionaria,
Chevrolet,Tracker,2015,1.8 Ltz Fwd Mt 140cv,Gris,Nafta,5.0,Manual,1.8,SUV,101100 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,13888000.0,$,concesionaria,
Chevrolet,Tracker,2023,1.2 Premier Turbo At,Gris,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Premier Turbo At,30200000.0,$,concesionaria,
Chevrolet,Tracker,2016,1.8 Ltz 140cv,Plateado,Nafta,5.0,Automática,1.8,SUV,119000 km,Chevrolet Tracker 1.8 Ltz 140cv,13300.0,U$S,concesionaria,
Chevrolet,Tracker,2015,1.8 Ltz Awd At 140cv,Blanco,Nafta,5.0,Automática,1.8,SUV,110000 km,Chevrolet Tracker 1.8 Ltz Awd At 140cv,13500000.0,$,concesionaria,
Chevrolet,Tracker,2019,1.8 Ltz+ 140cv,Plateado,Nafta,5.0,Automática,1.8,SUV,107000 km,Chevrolet Tracker 1.8 Ltz+ 140cv,20490.0,U$S,concesionaria,
Chevrolet,Tracker,2023,1.2 Turbo Mt,Gris,Nafta,5.0,Manual,1.2,SUV,0 km,Chevrolet Tracker 1.2 Turbo Mt,22500000.0,$,concesionaria,
Chevrolet,Tracker,2023,1.2 Turbo At argentina,Gris,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Turbo At argentina,25000000.0,$,concesionaria,
Chevrolet,Tracker,2023,1.2 Turbo At,Blanco,Nafta,5.0,Automática,1.2,SUV,2000 km,Chevrolet Tracker 1.2 Turbo At,24300.0,U$S,concesionaria,
Chevrolet,Tracker,2023,1.2 Turbo At,Blanco,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Turbo At,32000000.0,$,concesionaria,No
Chevrolet,Tracker,2021,1.2 Premier Turbo At,Rojo,Nafta,5.0,Automática,1.2,SUV,100634 km,Chevrolet Tracker 1.2 Premier Turbo At,25000000.0,$,concesionaria,
Chevrolet,Tracker,2022,1.2 Ltz Turbo At,Gris,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Ltz Turbo At,36000000.0,$,concesionaria,
Chevrolet,Tracker,2018,1.8 Ltz+ 140cv,Rojo,Eléctrico,5.0,Automática,1.8,SUV,71000 km,Chevrolet Tracker 1.8 Ltz+ 140cv,16080000.0,$,tienda,
Chevrolet,Tracker,2020,1.2 Ltz Turbo At,Gris,Nafta,5.0,Automática,1.2,SUV,71000 km,Chevrolet Tracker 1.2 Ltz Turbo At,19990.0,U$S,concesionaria,
Chevrolet,Tracker,2014,1.8 Ltz Fwd Mt 140cv,Negro,Nafta,5.0,Manual,1.8,SUV,90000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,11500000.0,$,concesionaria,
Chevrolet,Tracker,2020,1.2 Premier Turbo At,Blanco,Nafta,5.0,Automática,1.2,SUV,60000 km,Chevrolet Tracker 1.2 Premier Turbo At,24000000.0,$,concesionaria,
Chevrolet,Tracker,2023,1.2 Turbo At,Gris,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Turbo At,25650000.0,$,concesionaria,
Chevrolet,Tracker,2017,1.8 Ltz+ 140cv,,Nafta,5.0,Automática,1.8,SUV,66000 km,Chevrolet Tracker 1.8 Ltz+ 140cv,15600.0,U$S,concesionaria,
Chevrolet,Tracker,2024,1.2 Turbo Ltz At,Blanco,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Turbo Ltz At,31900.0,U$S,concesionaria,
Chevrolet,Tracker,2016,1.8 Ltz Fwd Mt 140cv,Negro,Nafta,5.0,Manual,1.8,SUV,88000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,14201.0,U$S,concesionaria,
